,ISBN,Title,Author,Publishing Date,Category,Description
139,0753453800,Treasure Island,Robert Louis Stevenson,2001-09-15,Fiction,"'Fifteen men on the dead man's chest - Yo-ho-ho, and a bottle of rum!' All hands on deck for the swashbuckling adventure of a lifetime! Treasure Island has captivated children for decades and remains Robert Louis Stevenson's most famous book. With the legendary Long John Silver leading a mutinous pirate crew, children won't want to miss the boat on this classic tale of treasure and treachery."
140,1402714572,Unabridged: Treasure Island,,2005,Adventure stories,"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads to a pirate fortune as well as great danger."
141,1416500294,Treasure Island,Robert Louis Stevenson,2005-06-01,Fiction,"Enriched Classics offer readers accessible editions of great works of literature enhanced by helpful notes and commentary. Each book includes educational tools alongside the text, enabling students and readers alike to gain a deeper and more developed understanding of the writer and their work. Climb aboard for the swashbuckling adventure of a lifetime. Treasure Island has enthralled (and caused slight seasickness) for decades. The names Long John Silver and Jim Hawkins are destined to remain pieces of folklore for as long as children want to read Robert Louis Stevenson’s most famous book. With its dastardly plot and motley crew of rogues and villains, it seems unlikely that children will ever say no to this timeless classic. Enriched Classics enhance your engagement by introducing and explaining the historical and cultural significance of the work, the author’s personal history, and what impact this book had on subsequent scholarship. Each book includes discussion questions that help clarify and reinforce major themes and reading recommendations for further research. Read with confidence."
142,0689854684,Treasure Island,Robert Louis Stevenson,2003-07-01,Juvenile Fiction,"Robert Louis Stevenson’s classic pirate adventure that has thrilled readers for over a hundred years. Masterfully crafted, Treasure Island is a stunning yarn of piracy on the fiery tropic seas—an unforgettable tale of treachery that embroils a host of legendary swashbucklers, from honest young Jim Hawkins, to sinister, two-timing Israel Hands, to evil incarnate, blind Pew. But above all, Treasure Island is a complex study of good and evil, as embodied by that hero-villain Long John Silver, the merrily unscrupulous buccaneer-rogue whose greedy quest for gold cannot help but win the heart of every soul who ever longed for romance, treasure, and adventure."
143,0517221144,Treasure Island,Robert Louis Stevenson,2002,Adventure stories,"As part of the wonderful Collector's Library Series, Treasure Island is one of the best-loved children's classics of all time. This attractive volume contains the complete and unabridged story with 8 full color illustrations, plus numerous black & white illustrations throughout. The deluxe edition features a full piece cloth case, a four color illustrated onlay on the front cover, foil stamping on front and spine, stained edges on three sides, printed endpapers with book plate, and a satin ribbon marker. This book should have an honored place in any child's library."
144,1577658051,Treasure Island,Robert Louis Stevenson,2002,Adventure stories,"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads to a pirate fortune as well as great danger."
145,0933121180,100 Years of Lynchings,Ralph Ginzburg,1996-11,Social Science,Ginzburg compiles vivid newspaper accounts from 1886 to 1960 to provide insight and understanding of the history of racial violence.
146,0785950109,Cien Años de Soledad,Gabriel García Márquez,1997-01-01,,"Gabriel Garcia Marquez is a gifted writer, and nowhere does he write with the fervor that he does in ""One Hundred Years of Solitude,"" a pleasurable ride unmatched in modern literature."
147,0394800842,On Beyond Zebra,,1955,Juvenile Fiction,"An imaginative excursion through the alphabet, led by Conrad Cornelius O'Donald O'Dell, a very young boy with unusual spelling abilities."
148,0821778250,The Wedding Clause,Debbie Raleigh,2005,Inheritance and succession,An unusual legacy leads to unexpected love in this Regency romance when a young woman is forced to marry the grandson of her late employer in order to inherit a fortune. Original.
149,0060733039,The Zebra Wall,Kevin Henkes,2005-02-15,Juvenile Fiction,"The Vorlob family is getting ready for the new baby, soon to arrive. The preparations include painting a mural in the baby's nursery and making a list of possible names. Since ten-year-old Adine already has four younger sisters, she is used to the routine. This time, however, the routine is broken -- in more ways than one. The biggest change is that Aunt Irene will be staying with the Vorlobs until Adine's mother is back on her feet. Aunt Irene arrives, as does the baby, but nothing else goes quite as expected. Especially for Adine!"
150,8432216062,El perfume,Patrick Süskind,2002,France,"Jean Baotiste Grenouille nació con muy poca suerte, y en un escenario inmundo. Su infancia pudo haber marcado lo trágico de su existencia, pero en el caso de este pobre individuo, pareciera que todo ya estaba previamente escrito. Grenouille, no obstante, creció con un terrible atributo: hipersensibilidad. La vida se encargaría de perpetuarle la condena al traerlo al mundo con la irónica condición dual de no tener olor propio pero, eso sí, poseer el más increíblemente desarrollado sentido del olfato que jamás se haya visto. Aquel virtuosismo será progresivamente ocupado por Grenouille para catalogar y entender al resto de los hombres, desapegándolo de las cosas materiales, para diseñarle un mundo propio y etéreo. Pero ... la búsqueda de la perfección lo convertirá en un vulgar asesino. El olor virginal de una niña lo seduce. Desde entonces no dejará de matar, buscando apropiarse de la fórmula del más puro perfume."
151,0345413997,The Door Into Summer,Robert Anson Heinlein,1957,Fiction,"After a betrayal by his girlfriend causes Dan Davis to be trapped in thirty years of suspended animation, he wakes up and uses modern technology to travel back in time and seek revenge on his unfaithful lover and his treacherous business partner. Reprint."
152,0441788386,Stranger in a Strange Land,Robert A. Heinlein,1991-10,Fiction,"Valentine Michael Smith, born and raised on Mars, arrives on Earth stunning Western culture with his superhuman abilities"
153,0441748600,To Sail Beyond the Sunset,Robert Anson Heinlein,1988,Autobiographical fiction,"The millions of fans of Lazarus Long--probably Heinlein's most beloved character--will flock to this new tale, which continues adventures of the characters of The Cat Who Walked Through Walls. From the author of Stranger in a Strange Land and Time Enough for Love."
154,0345316509,"Job, a Comedy of Justice",Robert Anson Heinlein,1985,Fiction,"On vacation in Polynesia, Alex Hergensheimer experiences a series of world-changes, all of which point to Armageddon and reveal him to be a pawn in the ancient feud between God and Lucifer."
155,0765314932,Time for the Stars,Robert A. Heinlein,2006-08-08,Fiction,"For a telepathic twin on an exploratory space voyage only a few years pass, yet, when he returns to Earth his brother is ready to celebrate his ninetieth birthday."
156,0671742515,Long Dark Tea-Time of the Soul,Douglas Adams,1990,Fiction,Science-fiction roman.
157,0345455290,The Salmon of Doubt,Douglas Adams,2005-04-26,Fiction,"“A fitting eulogy to the master of wacky words and even wackier tales . . . Salmon leaves no doubt as to Adams’s lasting legacy.”—Entertainment Weekly With an introduction to the introduction by Terry Jones Douglas Adams changed the face of science fiction with his cosmically comic novel The Hitchhiker’s Guide to the Galaxy and its classic sequels. Sadly for his countless admirers, he hitched his own ride to the great beyond much too soon. Culled posthumously from Adams’s fleet of beloved Macintosh computers, this selection of essays, articles, anecdotes, and stories offers a fascinating and intimate portrait of the multifaceted artist and absurdist wordsmith. Join Adams on an excursion to climb Kilimanjaro . . . dressed in a rhino costume; peek into the private life of Genghis Khan—warrior and world-class neurotic; root for the harried author’s efforts to get a Hitchhiker movie off the ground in Hollywood; thrill to the further exploits of private eye Dirk Gently and two-headed alien Zaphod Beeblebrox. Though Douglas Adams is gone, he’s left us something very special to remember him by. Without a doubt. “Worth reading and even cherishing, if only because it’s the last we’ll hear from the master of comic science fiction.”—The Star-Ledger"
158,0345476514,Wish You Were Here,Nick Webb,2005-12-01,Biography & Autobiography,"Written by Adams's editor and close-friend, an authorized biography of the late author of The Hitchhiker's Guide to the Galaxy and its sequels offers a larger-than-life portrait of the inimitable Douglas Adams, based on material from the author's family. Reprint. 20,000 first printing."
159,0345368436,Douglas Adams's Starship Titanic,Terry Jones,1998-10-27,Fiction,"Arguably the greatest collaboration in the whole history of comedy! Bestselling author Douglas Adams wrote the storyline based on his CD-ROM game of the same name (as this novel, not as him, obviously). Terry Jones of Monty Python wrote the book. In the nude! Parents be warned! Most of the words in this book were written by a naked man! So. You want to argue with that? All right, we give in. Starship Titanic is the greatest, most fabulous, most technologically advanced interstellar cruise line ever built. It is like a cross between the Queen Mary, the Chrysler Building, Tutankhamen's tomb, and Venice. Furthermore, it cannot possibly go wrong. . . . Sadly, however, seconds after its launch it undergoes SMEF, or Spontaneous Massive Existence Failure. And disappears. Except, everything's got to be somewhere. Coming home that night, on a little known planet called Earth, Dan and Lucy Gibson find something very large and very, very shiny sticking into their house. . ."
160,1417622857,Salmon of Doubt,Douglas Adams,2003-07,Fiction,From the author of The Hitchhiker's Guide to the Galaxy this last book includes previously unpublished personal files and features the same kind of offbeat adventures as found in his other work
161,0573650969,The Phantom Tollbooth,Susan Nanus,1977,Drama,"Here are Milo’s adventures in the Land of Wisdom, where he’s forced to think about many new things. Milo learns of the argument between King Azaz and his brother, the Mathemagician, whose disagreement over words and numbers has led to the banishment of Princesses Sweet Rhyme and Pure Reason. Milo is dispatched to rescue the princesses from the Land of Ignorance. The knowledge and skills Milo picks up on his journey help him to save the princesses. When he must return home, Milo’s sorry to leave his friends – but enriched by his experience, he realizes his attitude toward learning will never be the same."
162,0691122946,On Bullshit,Harry G. Frankfurt,2005-01-01,Philosophy,"Presents a theory of bullshit, how it differs from lying, how those who engage in it change the rules of conversation, and how indulgence in bullshit can alter a person's ability to tell the truth."
163,0393329402,Another Bullshit Night in Suck City: A Memoir,Nick Flynn,2005-09-17,Biography & Autobiography,"The son of a convicted bank robber and con artist describes their complicated relationship, relating how his father, while in jail, sent the author letters throughout his childhood and turned up in a Boston homeless shelter where the author was a caseworker. Reprint. 25,000 first printing."
164,0671867423,Lincoln at Gettysburg,Garry Wills,1992,Death,Examination of the Gettysburg Address and Lincoln in their historical moment and cultural frame breathing new life into the words and revealing much about the President.
165,0395883970,The Gettysburg Address,Abraham Lincoln,1997-12-31,Juvenile Nonfiction,The power and strength of President Abraham Lincoln's words are accentuated by illustrations in a reprint of the Gettysburg Address of 1863.
166,0684848155,Underworld,Don DeLillo,1998-07-09,Fiction,"A work combining fiction and history in a collaboration that encompasses fifty years gives readers a glimpse into the realities upon which America's modern culture is based and explores the complex relationship between ""waste analyst"" Nick Shay and artist Klara Sax"
167,0140156046,Libra,Don DeLillo,1991-05-01,Fiction,"From the author of White Noise (winner of the National Book Award) and The Silence, an eerily convincing fictional speculation on the events leading up to the assassination of John F. Kennedy In this powerful, unsettling novel, Don DeLillo chronicles Lee Harvey Oswald's odyssey from troubled teenager to a man of precarious stability who imagines himself an agent of history. When ""history"" presents itself in the form of two disgruntled CIA operatives who decide that an unsuccessful attempt on the life of the president will galvanize the nation against communism, the scales are irrevocably tipped. A gripping, masterful blend of fact and fiction, alive with meticulously portrayed characters both real and created, Libra is a grave, haunting, and brilliant examination of an event that has become an indelible part of the American psyche."
168,0140119485,Americana,Don DeLillo,1989-07-06,Fiction,"""DeLillo's swift, ironic, and witty cross-country American nightmare doesn't have a dull or an unoriginal line."" —Rolling Stone The first novel by Don DeLillo, author of White Noise (winner of the National Book Award) and The Silence At twenty-eight, David Bell is the American Dream come true. He has fought his way to the top, surviving office purges and scandals to become a top television executive. David's world is made up of the images that flicker across America's screens, the fantasies that enthrall America's imagination. When, at the height of his success, the dream (and the dream-making) become a nightmare, David sets out to rediscover reality. Camera in hand, he journeys across the country in a mad and moving attempt to capture and to impose a pattern on America's—and his own—past, present, and future."
169,0679722947,Running Dog,Don DeLillo,1989-07-17,Fiction,"DeLillo's Running Dog, originally published in 1978, follows Moll Robbins, a New York city journalist trailing the activities of an influential senator. In the process she is dragged into the black market world of erotica and shady, infatuated men, where a cat-and-mouse chase for an erotic film rumored to ""star"" Adolph Hitler leads to trickery, maneuvering, and bloodshed. With streamlined prose and a thriller's narrative pace, Running Dog is a bright star in the modern master's early career."
170,0743244257,Cosmopolis,Don DeLillo,2004-04-06,Fiction,"Eric Packer, a young billionaire asset manager, journeys across New York in his limousine despite a threat against his life, and the occurances of various events that are stalling traffic throughout the city."
171,0140179178,Great Jones Street,Don DeLillo,1994,Fiction,"From the author of White Noise (winner of the National Book Award) and Zero K Bucky Wunderlick, rock star and budding messiah, has hit a spiritual wall. In mid-tour he bolts fromhis band to hole up in a dingy East Village apartment and separate himself from the paranoid machine that propels the culture he has helped create. As faithful fans await messages, Bucky encounters every sort of roiling farce he is trying to escape. A penetrating look at rock and roll's merger of art, commerce and urban decay, Great Jones Street ""reflects our era's nighmares and hallucinations with all appropriate lurid, tawdry shades"" --The Cleveland Plain Dealer."
172,0679722955,,,,,
173,159420120X,,,,,
174,0060930217,,,,,
175,0060931671,,,,,
176,0140283382,Gravity's Rainbow,Thomas Pynchon,2000,Americans,"Winner of the 1973 National Book Award, GRAVITY'S RAINBOW is a postmodern epic, a work as exhaustively significant to the second half of the twentieth century as Joyce's Ulysses was to the first. Its complex and richly layered narrative begins a few months after the German's secret V-2 rocket bombs start falling on London. British intelligence discovers that a map of the city pinpointing the sexual conquests of one Lieutenant Tyrone Slothrop, U.S. Army, corresponds identically to a map showing the V-2 impact sites. The implications of this discovery will launch Slothrop on an amazing journey across war-torn Europe, fleeing an international cabal of military-industrial superpowers, in search of the mysterious Rocket 00000. The sprawling, encyclopedic narrative of Gravity's Rainbow -- with its countless subsidiary plots, more than 400 characters, shifting literary styles, and allusions ranging from classical music theory, literature, and military science to comic strips and film -- and the novel's penetrating analysis of the impact of technology on society make it an intellectual tour de force."
177,0312423209,,,,,
178,0141180633,,,,,
179,0143039946,,,,,
180,0316724432,Slow Learner,Thomas Pynchon,1985-04-30,Fiction,"Early short stories by Thomas Pynchon, introduced by the author and praised as ""an exhilarating spectacle of greatness discovering its powers"" by the New Republic. Thomas Pynchon's literary career was launched not with the release of his widely acclaimed first novel, V., but with the publication in literary magazines of the five stories collected here. In his introduction to Slow Learner, the author reviews his early work with disarming candor and recalls the American cultural landscape of the early post-Beat era in which the stories were written. Time magazine described this introductory essay as ""Pynchon's first public gesture toward autobiography."" ""Funny and wise enough to charm the gravity from a rainbow...All five of the pieces have unusual narrative vigor and inventiveness."" --New York Times"
181,0140189300,Been Down So Long it Looks Like Up to Me,Richard Fariña,1996,Fiction,"The surrealistic adventures of the young anti-hero reflect the author's irreverent view of life, using a 1950s college campus as a microcosm of the world"
182,140004314X,,,,,
183,0374522219,,,,,
184,0679754865,A Book of Common Prayer,Joan Didion,1995-04-11,Fiction,"A shimmering novel of innocence and evil: the gripping story of two American women in a failing Central American nation, from the bestselling, award-winning author of The Year of Magical Thinking and Let Me Tell You What I Mean ""[Didion's] most ambitious project in fiction, and her most successful ... glows with a golden aura of well-wrought classical tragedy.” —Los Angeles Times Book Review Grace Strasser-Mendana controls much of Boca Grande's wealth and knows virtually all of its secrets; Charlotte Douglas knows far too little. ""Immaculate of history, innocent of politics,"" Charlotte has come to Boca Grande vaguely and vainly hoping to be reunited with her fugitive daughter. As imagined by Didion, her fate is at once utterly particular and fearfully emblematic of an age of conscienceless authority and unfathomable violence. A Book of Common Prayer is written with the telegraphic swiftness and microscopic sensitivity that have made Didion one of our most distinguished journalists."
185,0679752862,,,,,
186,0374521727,,,,,
187,0679754857,Democracy,Joan Didion,1995-04-25,Fiction,"From the bestselling, award-winning author of The Year of Magical Thinking and Let Me Tell You What I Mean—a gorgeously written, bitterly funny look at the relationship between politics and personal life. Moving deftly between romance, farce, and tragedy, from 1970s America to Vietnam to Jakarta, Democracy is a tour de force from a writer who can dissect an entire society with a single phrase. Inez Victor knows that the major casualty of the political life is memory. But the people around Inez have made careers out of losing track. Her senator husband wants to forget the failure of his last bid for the presidency. Her husband's handler would like the press to forget that Inez's father is a murderer. And, in 1975, America is doing its best to lose track of its one-time client, the lethally hemorrhaging republic of South Vietnam. As conceived by Joan Didion, these personages and events constitute the terminal fallout of democracy, a fallout that also includes fact-finding junkets, senatorial groupies, the international arms market, and the Orwellian newspeak of the political class."
